1 ----------------------------------------------
Measurement time: 87696860
Measurement discrepancy: 0
Measurement time: 87297850
Measurement discrepancy: 0
Measurement time: 96284260
Measurement discrepancy: 0
Measurement time: 87747367
Measurement discrepancy: 0
Measurement time: 79327287
Measurement discrepancy: 0
Measurement time: 83151857
Measurement discrepancy: 0
Measurement time: 81601797
Measurement discrepancy: 0
Measurement time: 81429637
Measurement discrepancy: 0
Measurement time: 83479963
Measurement discrepancy: 0
Measurement time: 85653673
Measurement discrepancy: 0
2 ----------------------------------------------
Measurement time: 119286597
Measurement discrepancy: 0
Measurement time: 111744891
Measurement discrepancy: 0
Measurement time: 107642036
Measurement discrepancy: 0
Measurement time: 128356917
Measurement discrepancy: 0
Measurement time: 112735112
Measurement discrepancy: 0
Measurement time: 122410146
Measurement discrepancy: 0
Measurement time: 111494459
Measurement discrepancy: 0
Measurement time: 112959074
Measurement discrepancy: 0
Measurement time: 145607243
Measurement discrepancy: 0
Measurement time: 108652217
Measurement discrepancy: 0
4 ----------------------------------------------
Discrepancy in contain: arg=54707, expected=true, actual=false, timestamp=38823396881924
Measurement time: 166732805
Measurement discrepancy: 1
Measurement time: 127259379
Measurement discrepancy: 0
Measurement time: 147682163
Measurement discrepancy: 0
Measurement time: 138237988
Measurement discrepancy: 0
Measurement time: 165087235
Measurement discrepancy: 0
Measurement time: 130297591
Measurement discrepancy: 0
Measurement time: 127800763
Measurement discrepancy: 0
Measurement time: 126400201
Measurement discrepancy: 0
Measurement time: 121304177
Measurement discrepancy: 0
Measurement time: 133781996
Measurement discrepancy: 0
8 ----------------------------------------------
Measurement time: 252547657
Measurement discrepancy: 0
Measurement time: 303810353
Measurement discrepancy: 0
Measurement time: 191423082
Measurement discrepancy: 0
Measurement time: 223375891
Measurement discrepancy: 0
Measurement time: 189685304
Measurement discrepancy: 0
Measurement time: 312048833
Measurement discrepancy: 0
Measurement time: 222638365
Measurement discrepancy: 0
Measurement time: 360156518
Measurement discrepancy: 0
Discrepancy in contain: arg=57265, expected=false, actual=true, timestamp=38829658253282
Measurement time: 218599148
Measurement discrepancy: 1
Measurement time: 205935720
Measurement discrepancy: 0
