1 ----------------------------------------------
Warmup time: 88750842
Warmup discrepancy: 0
Warmup time: 73910122
Warmup discrepancy: 0
Warmup time: 71077353
Warmup discrepancy: 0
Warmup time: 83003920
Warmup discrepancy: 0
Warmup time: 85174935
Warmup discrepancy: 0
Measurement time: 73558716
Measurement discrepancy: 0
Measurement time: 84725380
Measurement discrepancy: 0
Measurement time: 73202706
Measurement discrepancy: 0
Measurement time: 73022280
Measurement discrepancy: 0
Measurement time: 79559071
Measurement discrepancy: 0
Measurement time: 80098490
Measurement discrepancy: 0
Measurement time: 72300682
Measurement discrepancy: 0
Measurement time: 71328812
Measurement discrepancy: 0
Measurement time: 76621652
Measurement discrepancy: 0
Measurement time: 74251831
Measurement discrepancy: 0
2 ----------------------------------------------
Warmup time: 130554992
Warmup discrepancy: 0
Warmup time: 95235424
Warmup discrepancy: 0
Warmup time: 103619714
Warmup discrepancy: 0
Warmup time: 110591688
Warmup discrepancy: 0
Warmup time: 102297932
Warmup discrepancy: 0
Measurement time: 103025878
Measurement discrepancy: 0
Measurement time: 91926681
Measurement discrepancy: 0
Measurement time: 91114051
Measurement discrepancy: 0
Measurement time: 91552965
Measurement discrepancy: 0
Measurement time: 94249954
Measurement discrepancy: 0
Measurement time: 86762285
Measurement discrepancy: 0
Measurement time: 89697343
Measurement discrepancy: 0
Measurement time: 89115984
Measurement discrepancy: 0
Measurement time: 87339375
Measurement discrepancy: 0
Measurement time: 89034139
Measurement discrepancy: 0
4 ----------------------------------------------
Warmup time: 171822081
Warmup discrepancy: 0
Warmup time: 131665288
Warmup discrepancy: 0
Warmup time: 107257441
Warmup discrepancy: 0
Warmup time: 121718415
Warmup discrepancy: 0
Warmup time: 110326337
Warmup discrepancy: 0
Measurement time: 104189478
Measurement discrepancy: 0
Measurement time: 115151061
Measurement discrepancy: 0
Measurement time: 105432223
Measurement discrepancy: 0
Measurement time: 106904939
Measurement discrepancy: 0
Measurement time: 112163649
Measurement discrepancy: 0
Measurement time: 106909077
Measurement discrepancy: 0
Measurement time: 113986922
Measurement discrepancy: 0
Measurement time: 107927007
Measurement discrepancy: 0
Measurement time: 110130307
Measurement discrepancy: 0
Measurement time: 102557905
Measurement discrepancy: 0
8 ----------------------------------------------
Warmup time: 240251743
Warmup discrepancy: 0
Warmup time: 174226222
Warmup discrepancy: 0
Discrepancy in contain: arg=80697, expected=true, actual=false, timestamp=36622330380265
Warmup time: 173253225
Warmup discrepancy: 1
Warmup time: 157388648
Warmup discrepancy: 0
Warmup time: 178271690
Warmup discrepancy: 0
Measurement time: 160439349
Measurement discrepancy: 0
Measurement time: 163825353
Measurement discrepancy: 0
Measurement time: 163142601
Measurement discrepancy: 0
Measurement time: 175391660
Measurement discrepancy: 0
Measurement time: 185549810
Measurement discrepancy: 0
Measurement time: 175397871
Measurement discrepancy: 0
Measurement time: 189486814
Measurement discrepancy: 0
Measurement time: 171675697
Measurement discrepancy: 0
Measurement time: 186822480
Measurement discrepancy: 0
Measurement time: 176844310
Measurement discrepancy: 0
16 ----------------------------------------------
Warmup time: 281834717
Warmup discrepancy: 0
Warmup time: 207987605
Warmup discrepancy: 0
Discrepancy in contain: arg=7039, expected=false, actual=true, timestamp=36626523450048
Warmup time: 203070616
Warmup discrepancy: 1
Warmup time: 230313666
Warmup discrepancy: 0
Warmup time: 183624389
Warmup discrepancy: 0
Measurement time: 193862203
Measurement discrepancy: 0
Measurement time: 221217873
Measurement discrepancy: 0
Measurement time: 209102294
Measurement discrepancy: 0
Discrepancy in contain: arg=59583, expected=false, actual=true, timestamp=36628626137041
Discrepancy in contain: arg=78647, expected=false, actual=true, timestamp=36628638436151
Measurement time: 197605919
Measurement discrepancy: 2
Measurement time: 212128363
Measurement discrepancy: 0
Discrepancy found in add: arg=42120, expected=true, actual=false, timestamp=36629383618186
Discrepancy found in add: arg=42120, expected=false, actual=true, timestamp=36629383618509
Measurement time: 208661869
Measurement discrepancy: 2
Measurement time: 210875695
Measurement discrepancy: 0
Discrepancy found in add: arg=32302, expected=true, actual=false, timestamp=36630154578808
Discrepancy found in add: arg=32302, expected=false, actual=true, timestamp=36630154578858
Measurement time: 200498264
Measurement discrepancy: 2
Measurement time: 248680695
Measurement discrepancy: 0
Discrepancy in contain: arg=9207, expected=false, actual=true, timestamp=36631007217849
Measurement time: 252823605
Measurement discrepancy: 1
32 ----------------------------------------------
Discrepancy in contain: arg=63074, expected=false, actual=true, timestamp=36631621708959
Warmup time: 546415701
Warmup discrepancy: 1
Discrepancy in contain: arg=21290, expected=false, actual=true, timestamp=36632451781770
Warmup time: 373435424
Warmup discrepancy: 1
Discrepancy in contain: arg=46698, expected=false, actual=true, timestamp=36633074875368
Discrepancy in contain: arg=56803, expected=true, actual=false, timestamp=36633080008680
Warmup time: 340256304
Warmup discrepancy: 2
Discrepancy in contain: arg=91082, expected=false, actual=true, timestamp=36633582901733
Discrepancy in contain: arg=81034, expected=false, actual=true, timestamp=36633599053674
Warmup time: 368024116
Warmup discrepancy: 2
Warmup time: 331518815
Warmup discrepancy: 0
Discrepancy in contain: arg=69070, expected=false, actual=true, timestamp=36635012716644
Measurement time: 397303450
Measurement discrepancy: 1
Discrepancy in contain: arg=99141, expected=false, actual=true, timestamp=36635651177423
Discrepancy in contain: arg=26479, expected=false, actual=true, timestamp=36635667321004
Measurement time: 355643298
Measurement discrepancy: 2
Discrepancy in contain: arg=23572, expected=true, actual=false, timestamp=36636291015078
Discrepancy in contain: arg=95704, expected=true, actual=false, timestamp=36636343009172
Discrepancy in contain: arg=80630, expected=false, actual=true, timestamp=36636373254069
Measurement time: 370974467
Measurement discrepancy: 3
Discrepancy in contain: arg=117, expected=true, actual=false, timestamp=36637118689277
Discrepancy in contain: arg=50289, expected=false, actual=true, timestamp=36637198046269
Measurement time: 350304250
Measurement discrepancy: 2
Discrepancy in contain: arg=98293, expected=true, actual=false, timestamp=36637658866973
Discrepancy in contain: arg=96497, expected=true, actual=false, timestamp=36637679734608
Discrepancy in contain: arg=33392, expected=true, actual=false, timestamp=36637758999693
Discrepancy in contain: arg=65304, expected=false, actual=true, timestamp=36637922668191
Measurement time: 362333278
Measurement discrepancy: 4
Discrepancy in contain: arg=98395, expected=true, actual=false, timestamp=36638409999917
Discrepancy in contain: arg=37561, expected=false, actual=true, timestamp=36638476999853
Discrepancy in contain: arg=73436, expected=true, actual=false, timestamp=36638542010200
Discrepancy in contain: arg=37634, expected=false, actual=true, timestamp=36638554933171
Measurement time: 346098450
Measurement discrepancy: 4
Discrepancy in contain: arg=54104, expected=false, actual=true, timestamp=36639003288568
Discrepancy in contain: arg=14199, expected=false, actual=true, timestamp=36639051999857
Discrepancy in contain: arg=37793, expected=false, actual=true, timestamp=36639086214877
Discrepancy in contain: arg=8740, expected=false, actual=true, timestamp=36639126242959
Measurement time: 373881477
Measurement discrepancy: 4
Discrepancy in contain: arg=46609, expected=false, actual=true, timestamp=36639676800269
Discrepancy in contain: arg=410, expected=true, actual=false, timestamp=36639766999934
Discrepancy in contain: arg=27162, expected=true, actual=false, timestamp=36639906999943
Measurement time: 416544837
Measurement discrepancy: 3
Discrepancy in contain: arg=4499, expected=false, actual=true, timestamp=36640525801677
Measurement time: 372601881
Measurement discrepancy: 1
Discrepancy found in add: arg=85542, expected=false, actual=true, timestamp=36641113194583
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641137659763
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641138632765
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641139023644
Discrepancy found in remove: arg=85542, expected=false, actual=true, timestamp=36641157313296
Discrepancy in contain: arg=83911, expected=true, actual=false, timestamp=36641248888254
Measurement time: 378692561
Measurement discrepancy: 6
48 ----------------------------------------------
Discrepancy found in remove: arg=74857, expected=false, actual=true, timestamp=36642156016629
Discrepancy found in add: arg=74857, expected=false, actual=true, timestamp=36642159801259
Discrepancy in contain: arg=53300, expected=false, actual=true, timestamp=36642177223962
Discrepancy in contain: arg=20731, expected=false, actual=true, timestamp=36642186428098
Discrepancy in contain: arg=98462, expected=false, actual=true, timestamp=36642266999785
Discrepancy in contain: arg=55225, expected=true, actual=false, timestamp=36642496232091
Discrepancy found in add: arg=55225, expected=false, actual=true, timestamp=36642497777988
Discrepancy in contain: arg=55225, expected=false, actual=true, timestamp=36642520720520
Discrepancy found in remove: arg=55225, expected=false, actual=true, timestamp=36642553258470
Warmup time: 806661055
Warmup discrepancy: 9
Discrepancy in contain: arg=55696, expected=true, actual=false, timestamp=36643367999970
